open_time,open,high,low,close,close_time
1574838000000,146.0,146.0,146.0,146.0,1574841599999
1574841600000,125.03,145.01,125.03,133.0,1574845199999
1574845200000,133.0,133.0,133.0,133.0,1574848799999
1574848800000,142.2,144.52,142.1,142.62,1574852399999
1574852400000,142.7,146.92,142.22,146.58,1574855999999
1574856000000,146.53,149.34,145.73,147.38,1574859599999
1574859600000,147.38,148.51,147.26,148.26,1574863199999
1574863200000,148.35,149.14,146.8,147.65,1574866799999
1574866800000,147.61,151.64,147.32,150.65,1574870399999
1574870400000,150.72,153.58,148.33,152.6,1574873999999
1574874000000,152.94,154.93,152.06,153.63,1574877599999
1574877600000,153.66,155.5,152.84,153.03,1574881199999
1574881200000,153.01,154.92,152.84,153.87,1574884799999
1574884800000,153.84,155.66,152.91,153.23,1574888399999
1574888400000,153.13,153.71,152.03,153.44,1574891999999
1574892000000,153.29,154.29,152.63,152.63,1574895599999
1574895600000,152.61,153.5,152.3,152.52,1574899199999
1574899200000,154.29,154.47,154.21,154.21,1574902799999
1574902800000,154.23,154.23,146.41,146.62,1574906399999
1574906400000,147.86,156.52,147.86,150.62,1574909999999
1574910000000,150.62,153.09,150.43,152.03,1574913599999
1574913600000,151.93,152.45,151.16,151.49,1574917199999
1574917200000,151.46,151.83,150.18,151.15,1574920799999
1574920800000,151.15,153.02,150.45,152.17,1574924399999
1574924400000,152.17,152.72,151.47,151.98,1574927999999
1574928000000,152.04,152.76,151.47,152.7,1574931599999
1574931600000,152.7,152.72,151.24,152.21,1574935199999
1574935200000,152.14,152.14,149.63,150.81,1574938799999
1574938800000,150.81,151.75,150.45,151.43,1574942399999
1574942400000,151.43,151.43,149.95,150.46,1574945999999
1574946000000,150.46,151.19,150.13,150.84,1574949599999
1574949600000,150.84,151.03,150.13,150.66,1574953199999
1574953200000,150.72,154.51,150.53,153.78,1574956799999
1574956800000,153.78,153.95,152.46,153.68,1574960399999
1574960400000,153.65,153.69,152.8,153.39,1574963999999
1574964000000,153.33,153.95,152.97,153.17,1574967599999
1574967600000,153.19,153.85,153.12,153.5,1574971199999
1574971200000,153.54,154.0,151.75,151.9,1574974799999
1574974800000,151.9,152.26,151.11,151.74,1574978399999
1574978400000,151.72,152.5,149.78,149.98,1574981999999
1574982000000,150.01,150.82,148.88,150.48,1574985599999
